origin_x,origin_y,height,aspect,slope,curvature,label
440398.5642820691,4397440.686415974,20188,84.71876,4.271609,2.25029,0
440399.0607933089,4397439.818385681,20185,75.96375,5.0072403,-3.9993286,0
440399.5573045486,4397438.950355389,20185,75.96375,5.0072403,-3.9993286,0
440400.0538157884,4397438.082325096,20177,79.40847,4.4718547,1.7505646,0
440400.5503270282,4397437.214294804,20177,79.40847,4.4718547,1.7505646,0
440401.046838268,4397436.346264511,20177,79.40847,4.4718547,1.7505646,0
440401.54334950773,4397435.478234218,20178,78.11134,5.545037,-0.0,0
440402.0398607475,4397434.610203926,20162,75.96375,4.1269875,-1.2500763,0
440402.5363719873,4397433.742173634,20165,75.69972,3.7639785,-0.25024414,0
440403.0328832271,4397432.874143342,20165,75.69972,3.7639785,-0.25024414,0
440403.52939446684,4397432.006113049,20167,84.55967,4.5230403,-2.2499084,0
440404.0259057066,4397431.138082756,20155,87.55295,4.186114,2.0004272,0
440404.5224169464,4397430.270052464,20152,55.98865,5.2984776,-8.499527,0
440405.0189281862,4397429.402022171,20152,55.98865,5.2984776,-8.499527,0
440405.51543942594,4397428.533991879,20152,55.98865,5.2984776,-8.499527,0
440406.01195066574,4397427.665961586,20149,83.26399,4.5697494,-0.49934387,0
440406.5084619055,4397426.797931293,20149,83.26399,4.5697494,-0.49934387,0
440407.0049731453,4397425.929901001,20144,84.062584,4.491154,-4.750061,0
440407.50148438505,4397425.061870708,20144,84.062584,4.491154,-4.750061,0
440407.99799562484,4397424.193840415,20140,77.00539,2.8641908,-0.00076293945,0
440408.49450686463,4397423.325810123,20140,77.00539,2.8641908,-0.00076293945,0
440408.9910181044,4397422.45777983,20140,77.00539,2.8641908,-0.00076293945,0
440409.48752934416,4397421.589749538,20141,77.828545,3.731317,-0.49934387,0
440409.98404058395,4397420.721719245,20130,84.4278,2.9477468,-1.2500763,0
440410.48055182374,4397419.8536889525,20132,81.15819,3.258131,0.7507324,0
440410.97706306353,4397418.9856586605,20132,81.15819,3.258131,0.7507324,0
440411.47357430327,4397418.117628368,20131,88.47923,4.0412254,-2.7503967,0
440411.97008554306,4397417.249598076,20122,91.33222,3.0775177,1.5003204,0
440412.46659678285,4397416.381567783,20122,91.33222,3.0775177,1.5003204,0
440412.96310802264,4397415.51353749,20120,83.04704,2.9555392,-1.2500763,0
440413.45961926243,4397414.645507198,20120,83.04704,2.9555392,-1.2500763,0
440413.95613050216,4397413.777476905,20112,88.49256,2.7204456,-0.00038146973,0
440414.45264174195,4397412.909446613,20112,88.49256,2.7204456,-0.00038146973,0
440414.94915298175,4397412.04141632,20112,156.8014,3.2690854,4.499817,0
440415.44566422154,4397411.173386027,20112,156.8014,3.2690854,4.499817,0
440415.94217546127,4397410.305355735,20092,184.39871,4.6587405,1.499939,0
440416.43868670106,4397409.437325442,20102,160.49756,3.642071,12.250519,0
440344.25865556527,4397538.163757553,20630,128.93822,11.358454,19.50035,1
440344.75473307224,4397537.295479311,20630,128.93822,11.358454,19.50035,1
440345.2508105792,4397536.427201067,20630,128.93822,11.358454,19.50035,1
440345.7468880862,4397535.558922824,20577,125.403076,10.512283,-19.499588,1
440346.24296559324,4397534.690644582,20558,127.29251,6.76528,-5.7495117,1
440346.7390431002,4397533.822366339,20551,104.03625,5.0072403,-8.000565,1
440347.2351206072,4397532.954088096,20551,104.03625,5.0072403,-8.000565,1
440347.73119811417,4397532.085809853,20549,106.4293,5.804205,-2.999115,1
440348.22727562115,4397531.21753161,20534,119.81416,3.668241,-4.7504425,1
440348.7233531281,4397530.349253368,20534,119.81416,3.668241,-4.7504425,1
440349.2194306351,4397529.480975124,20530,107.47478,4.0478396,-1.7494202,1
440349.7155081421,4397528.612696881,20530,107.47478,4.0478396,-1.7494202,1
440350.2115856491,4397527.744418639,20509,119.63838,4.7682033,-3.2505035,1
440350.7076631561,4397526.876140396,20509,119.63838,4.7682033,-3.2505035,1
440351.20374066307,4397526.0078621525,20502,115.73473,5.508601,-0.2494812,1
440351.69981817005,4397525.13958391,20502,115.73473,5.508601,-0.2494812,1
