origin_x,origin_y,height,aspect,slope,label
440353.19356086,4397540.860469484,"[20591, 20525, 20497, 20537, 20504, 20470, 20581, 20516, 20479]","[109.85522, 110.80375, 121.22498, 104.03625, 97.93555, 109.39781, 81.998795, 81.73283, 77.607285]","[13.453509, 12.405575, 8.029115, 11.648635, 11.7633915, 8.033469, 8.931262, 12.499124, 8.121277]",8
440353.6920784036,4397539.993589873,"[20537, 20504, 20470, 20581, 20516, 20479, 20562, 20511, 20482]","[104.03625, 97.93555, 109.39781, 81.998795, 81.73283, 77.607285, 116.56505, 96.10278, 80.537674]","[11.648635, 11.7633915, 8.033469, 8.931262, 12.499124, 8.121277, 7.9558, 11.303474, 6.936248]",8
440354.19059594715,4397539.126710263,"[20504, 20470, 20447, 20516, 20479, 20456, 20511, 20482, 20465]","[97.93555, 109.39781, 130.71085, 81.73283, 77.607285, 65.43283, 96.10278, 80.537674, 59.893475]","[11.7633915, 8.033469, 6.0713763, 12.499124, 8.121277, 5.4954786, 11.303474, 6.936248, 4.9138236]",8
440354.6891134907,4397538.259830653,"[20516, 20479, 20456, 20511, 20482, 20465, 20514, 20487, 20474]","[81.73283, 77.607285, 65.43283, 96.10278, 80.537674, 59.893475, 92.29061, 69.1142, 41.185925]","[12.499124, 8.121277, 5.4954786, 11.303474, 6.936248, 4.9138236, 8.011047, 5.8059483, 4.558327]",8
440355.18763103423,4397537.392951042,"[20516, 20479, 20456, 20511, 20482, 20465, 20514, 20487, 20474]","[81.73283, 77.607285, 65.43283, 96.10278, 80.537674, 59.893475, 92.29061, 69.1142, 41.185925]","[12.499124, 8.121277, 5.4954786, 11.303474, 6.936248, 4.9138236, 8.011047, 5.8059483, 4.558327]",8
440355.68614857784,4397536.526071432,"[20516, 20479, 20456, 20511, 20482, 20465, 20514, 20487, 20474]","[81.73283, 77.607285, 65.43283, 96.10278, 80.537674, 59.893475, 92.29061, 69.1142, 41.185925]","[12.499124, 8.121277, 5.4954786, 11.303474, 6.936248, 4.9138236, 8.011047, 5.8059483, 4.558327]",8
440356.1846661214,4397535.659191822,"[20482, 20465, 20451, 20487, 20474, 20467, 20496, 20490, 20483]","[80.537674, 59.893475, 40.03026, 69.1142, 41.185925, 31.551384, 63.627865, 48.31778, 58.19061]","[6.936248, 4.9138236, 4.6663737, 5.8059483, 4.558327, 4.7793813, 4.745499, 3.495875, 3.3252308]",8
440356.6831836649,4397534.792312211,"[20482, 20465, 20451, 20487, 20474, 20467, 20496, 20490, 20483]","[80.537674, 59.893475, 40.03026, 69.1142, 41.185925, 31.551384, 63.627865, 48.31778, 58.19061]","[6.936248, 4.9138236, 4.6663737, 5.8059483, 4.558327, 4.7793813, 4.745499, 3.495875, 3.3252308]",8
440357.1817012085,4397533.925432601,"[20487, 20474, 20467, 20496, 20490, 20483, 20505, 20492, 20478]","[69.1142, 41.185925, 31.551384, 63.627865, 48.31778, 58.19061, 90.0, 92.60256, 92.17474]","[5.8059483, 4.558327, 4.7793813, 4.745499, 3.495875, 3.3252308, 3.6476698, 3.15134, 2.8287177]",8
440357.68021875207,4397533.058552991,"[20487, 20474, 20467, 20496, 20490, 20483, 20505, 20492, 20478]","[69.1142, 41.185925, 31.551384, 63.627865, 48.31778, 58.19061, 90.0, 92.60256, 92.17474]","[5.8059483, 4.558327, 4.7793813, 4.745499, 3.495875, 3.3252308, 3.6476698, 3.15134, 2.8287177]",8
